"Product ID","Product Name","Category String",Price,"Calculated Price","Product Not Visible","Product Visible","Allow Purchases","Product Availability","Brand + Name","Page Title","Product URL","Product Images"
13194,"Elentee Soy Waterless Shampoo [12 oz]","Salon;Salon/Hair Care Products;Salon/Hair Care Products/Shampoo & Conditioner",5.99,5.99,,True,True,,"Vitale  Elentee Soy Waterless Shampoo [12 oz]",,/elentee-soy-waterless-shampoo-12-oz/,"Product Image URL: http://tophairwigs.com/product_images/o/577/es03_500x500_400x400__68995.jpg"
13195,"Elentee Soy Organics Anti Breakage Moisturizer 12 oz","Salon;Salon/Hair Care Products",4.99,4.99,,True,True,,"Vitale  Elentee Soy Organics Anti Breakage Moisturizer 12 oz",,/elentee-soy-organics-anti-breakage-moisturizer-12-oz/,"Product Image URL: http://tophairwigs.com/product_images/f/092/AFES05__29924.jpg"
13196,"Vitale Elentee Soy Organics Braid Sheen 12oz","Salon;Salon/Hair Care Products",4.99,4.99,,True,True,,"Vitale  Vitale Elentee Soy Organics Braid Sheen 12oz",,/vitale-elentee-soy-organics-braid-sheen-12oz/,"Product Image URL: http://tophairwigs.com/product_images/m/055/yhst_17606501929367_2265_210663002__63210.gif"
13197,"Vitale Elentee Soy Organics Braid Marinade 14oz","Salon;Salon/Hair Care Products",5.99,5.99,,True,True,,"Vitale  Vitale Elentee Soy Organics Braid Marinade 14oz",,/vitale-elentee-soy-organics-braid-marinade-14oz/,"Product Image URL: http://tophairwigs.com/product_images/i/644/yhst_17606501929367_2265_210960231__10177.jpg"
13198,"Vitale Elentee Soy Organics Wig & Weave Shining Spray 4oz","Salon;Salon/Hair Care Products",5.99,5.99,,True,True,,"Vitale  Vitale Elentee Soy Organics Wig & Weave Shining Spray 4oz",,/vitale-elentee-soy-organics-wig-weave-shining-spray-4oz/,"Product Image URL: http://tophairwigs.com/product_images/z/774/yhst_17606501929367_2265_210422148__07612.jpg"
13199,"Vitale Princess By Nature Growth Serum- 4oz","Salon;Salon/Hair Care Products;Salon/Kid's Hair Products",5.99,5.99,True,,True,,"Vitale  Vitale Princess By Nature Growth Serum- 4oz",,/vitale-princess-by-nature-growth-serum-4oz/,"Product Image URL: http://tophairwigs.com/product_images/y/522/vn16_500x500_400x400__98209.jpg"
13200,"Vitale Princess By Nature Imperial Hair Mayonnaise [8oz]","Salon;Salon/Hair Care Products;Salon/Kid's Hair Products",3.99,3.99,,True,True,,"Vitale  Vitale Princess By Nature Imperial Hair Mayonnaise [8oz]",,/vitale-princess-by-nature-imperial-hair-mayonnaise-8oz/,"Product Image URL: http://tophairwigs.com/product_images/x/502/vn13_500x500_400x400__55582.jpg"
13201,"Vitale Super Reconstructor Conditioner Intensive Treatment 16oz","Salon;Salon/Hair Care Products",6.99,6.99,True,,True,,"Vitale  Vitale Super Reconstructor Conditioner Intensive Treatment 16oz",,/vitale-super-reconstructor-conditioner-intensive-treatment-16oz/,"Product Image URL: http://tophairwigs.com/product_images/v/461/yhst_65353547488965_2272_59666133__80428.jpg"
13202,"Vitale Life & Body Relaxer 16oz","Salon;Salon/Hair Care Products",5.99,5.99,,True,True,,"Vitale  Vitale Life & Body Relaxer 16oz",,/vitale-life-body-relaxer-16oz/,"Product Image URL: http://tophairwigs.com/product_images/v/108/yhst_88462588038071_2400_268383960__07019.jpg"
13203,"Vitale Ideal Mild Relaxer 16oz","Salon;Salon/Hair Care Products",5.99,5.99,,True,True,"In Stock","Vitale  Vitale Ideal Mild Relaxer 16oz","Vitale Ideal Mild Relaxer 16oz",/vitale-ideal-mild-relaxer-16oz/,"Product Image URL: http://tophairwigs.com/product_images/p/002/yhst_88462588038071_2398_2281170119__17924.gif"
